feature,id
id,41
expiration_id,42
src_ip,43
src_mac,44
src_oui,45
src_port,46
dst_ip,47
dst_mac,48
dst_oui,49
dst_port,410
protocol,411
ip_version,412
vlan_id,413
tunnel_id,414
protocol_1,415
protocol_2,416
protocol_6,417
protocol_17,418
protocol_58,419
protocol_132,420
bidirectional_first_seen_ms,111
bidirectional_last_seen_ms,112
bidirectional_duration_ms,113
bidirectional_packets,114
bidirectional_bytes,115
src2dst_first_seen_ms,211
src2dst_last_seen_ms,212
src2dst_duration_ms,213
src2dst_packets,214
src2dst_bytes,215
dst2src_first_seen_ms,311
dst2src_last_seen_ms,312
dst2src_duration_ms,313
dst2src_packets,314
dst2src_bytes,315
bidirectional_min_ps,121
bidirectional_mean_ps,122
bidirectional_stddev_ps,123
bidirectional_max_ps,124
src2dst_min_ps,221
src2dst_mean_ps,222
src2dst_stddev_ps,223
src2dst_max_ps,224
dst2src_min_ps,321
dst2src_mean_ps,322
dst2src_stddev_ps,323
dst2src_max_ps,324
bidirectional_min_piat_ms,131
bidirectional_mean_piat_ms,132
bidirectional_stddev_piat_ms,133
bidirectional_max_piat_ms,134
src2dst_min_piat_ms,231
src2dst_mean_piat_ms,232
src2dst_stddev_piat_ms,233
src2dst_max_piat_ms,234
dst2src_min_piat_ms,331
dst2src_mean_piat_ms,332
dst2src_stddev_piat_ms,333
dst2src_max_piat_ms,334
bidirectional_syn_packets,141
bidirectional_cwr_packets,142
bidirectional_ece_packets,143
bidirectional_urg_packets,144
bidirectional_ack_packets,145
bidirectional_psh_packets,146
bidirectional_rst_packets,147
bidirectional_fin_packets,148
src2dst_syn_packets,241
src2dst_cwr_packets,242
src2dst_ece_packets,243
src2dst_urg_packets,244
src2dst_ack_packets,245
src2dst_psh_packets,246
src2dst_rst_packets,247
src2dst_fin_packets,248
dst2src_syn_packets,341
dst2src_cwr_packets,342
dst2src_ece_packets,343
dst2src_urg_packets,344
dst2src_ack_packets,345
dst2src_psh_packets,346
dst2src_rst_packets,347
dst2src_fin_packets,348
splt_piat_ms_1,511
splt_piat_ms_2,512
splt_piat_ms_3,513
splt_piat_ms_4,514
splt_piat_ms_5,515
splt_piat_ms_6,516
splt_piat_ms_7,517
splt_piat_ms_8,518
splt_ps_1,521
splt_ps_2,522
splt_ps_3,523
splt_ps_4,524
splt_ps_5,525
splt_ps_6,526
splt_ps_7,527
splt_ps_8,528
splt_direction_1_0,5310
splt_direction_1_1,5311
splt_direction_1_2,5312
splt_direction_2_0,5320
splt_direction_2_1,5321
splt_direction_2_2,5322
splt_direction_3_0,5330
splt_direction_3_1,5331
splt_direction_3_2,5332
splt_direction_4_0,5340
splt_direction_4_1,5341
splt_direction_4_2,5342
splt_direction_5_0,5350
splt_direction_5_1,5351
splt_direction_5_2,5352
splt_direction_6_0,5360
splt_direction_6_1,5361
splt_direction_6_2,5362
splt_direction_7_0,5370
splt_direction_7_1,5371
splt_direction_7_2,5372
splt_direction_8_0,5380
splt_direction_8_1,5381
splt_direction_8_2,5382
